PeakID	Title	Scans	RT left(min)	RT (min)	RT right (min)	Precursor m/z	Height	Area	Model masses	Adduct	Isotope	Comment	Reference RT	Reference m/z	Formula	Ontology	InChIKey	SMILES	Annotation tag (VS1.0)	RT matched	m/z matched	MS/MS matched	RT similarity	Dot product	Reverse dot product	Fragment presence %	Total score	S/N	MS1 isotopes	MSMS spectrum
3935	Unknown	605	5.675164	5.972483	6.33941	215.0278	181432.46875	4031467	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	15.14209	215.02483:3013 215.02782:38830 215.0323:6716 215.0555:15232 215.09176:7705 215.12767:4547 216.02288:40394 216.08674:4355 217.05717:8513 217.07064:11037 217.10756:11770 218.06699:3216 218.98623:7713 219.08732:3691 219.09847:5476 219.17453:64789	
3936	Unknown	605	5.655292	5.972483	6.557625	263.0994	79880.734375	838945.75	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	39.741	262.99574:28524 263.09942:27269 264.10226:3402 265.14751:64129 266.08892:3807 266.15047:9653 267.05081:4253 267.07306:19612 267.14397:3208	
3937	Unknown	605	5.695029	5.972483	6.210019	313.6843	1002.38812255859	5340.82666015625	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	20.04776	313.68429:2525 313.92976:24890 315.10868:2700 316.18699:3439 317.21208:5426	
3938	Unknown	605	5.388387	5.972483	6.398905	331.0074	42044.7421875	670694.4375	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	32.1082	331.00741:9815 333.20703:3747 333.98654:3457	
3939	Unknown	606	5.695029	5.982356	6.359282	114.0185	977983.5	18997824	null	[M-H]-	M + 0	similar chromatogram in higher mz_3934; similar chromatogram in higher mz_3941; similar chromatogram in higher mz_3935; similar chromatogram in higher mz_3945; similar chromatogram in higher mz_3947	null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	66.35831	113.98733:2964 114.01648:2842 114.01852:239577 114.03756:7672 114.05516:21046 114.93326:3951 114.93501:36667 114.99976:5593 115.00257:185632 115.02199:7974 115.03884:121901 115.04964:3999 115.07524:382534 116.02396:12747 116.03418:23660 116.04189:7940 116.07065:60350 116.92735:84725 116.93316:14946 116.95835:38383 116.98175:4352 117.01822:96427 117.04419:3694 117.0547:30323 118.00389:9043 118.02881:4216 118.04006:24448 118.04994:27565 118.90298:3763 118.99773:5667	
3940	Unknown	606	5.685093	5.982356	6.359282	132.0484	2060154.375	37089172	null	[M-H]-	M + 1	isotope of 3934	null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	30.05135	132.02896:140760 132.04033:19858 132.04194:34637 132.04842:449151 132.05094:5494 132.05539:74721 132.86668:4482 132.92789:5331 133.01298:39460 133.03208:5242 133.03917:4356 133.04918:35171 133.05064:30863 133.06465:5210 134.03483:59934 134.04572:6330 134.07093:15022 134.97221:6520 135.02856:20804 135.03024:22092 135.04399:113614 135.05514:9370 135.06634:11317 135.08048:2769 135.94404:403109 135.97017:5602 136.01379:4448 136.04728:6133 136.05045:79487 136.99026:6431 137.02372:9001 137.02631:101839 137.03437:36420 137.0456:7938	
3941	Unknown	606	5.556171	5.982356	6.44849	153.027	846898.3125	14043369	null	[M-H]-	M + 0	similar chromatogram in higher mz_3928	null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	88.61716	152.98503:6035 152.9949:2962 153.02695:196523 153.06583:5163 154.02435:5971 154.03047:7318 154.05042:3577 154.06109:611997 154.08625:12409 154.94617:12200 155.00084:14080 155.00895:9859 155.03356:9391 155.06423:16851 155.07003:16567 155.10706:3977 156.05619:3651 156.06543:6870 156.94503:5851 156.99073:3451 157.01312:3912 157.02416:9588 157.04928:12371 157.05114:16237 157.08593:21277 157.1223:182655 158.00808:6656	
3942	Unknown	606	5.774587	5.982356	6.180315	251.0043	15261.22265625	196148.5625	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	6.435288	251.00474:4277 253.04601:3327 253.08563:2766 253.14421:10157 253.21612:10559 254.03014:7291 254.0892:3565 255.09923:4540 255.12291:3759 255.23257:335055	
3943	Unknown	606	5.457133	5.982356	6.130688	286.0848	14947.5546875	140055.34375	null	[M-H]-	M + 1	isotope of 3927	null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	13.75687	285.99127:5357 286.08534:3559 291.0846:2721	
3944	Unknown	606	5.804372	5.982356	6.071214	292.0681	1006.47906494141	5476.86181640625	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	1.500311	293.17519:30485 293.21251:16801 294.17926:7314 294.98177:2985 295.22749:12970 296.23098:3261 296.99751:15571	
